DATE         WEEKDAY      TYPE           COLOR
----------------------------------------------
2025-01-04   saturday     kone_eve       ม่วง
2025-01-05   sunday       buddha_eve     แดง
2025-01-06   monday       buddha_day     เหลือง
2025-01-11   saturday     kone_eve       ม่วง
2025-01-12   sunday       buddha_eve     แดง
2025-01-13   monday       buddha_day     เหลือง
2025-01-19   sunday       kone_eve       แดง
2025-01-20   monday       buddha_eve     เหลือง
2025-01-21   tuesday      buddha_day     ชมพู
2025-01-26   sunday       kone_eve       แดง
2025-01-27   monday       buddha_eve     เหลือง
2025-01-28   tuesday      buddha_day     ชมพู
2025-02-03   monday       kone_eve       เหลือง
2025-02-04   tuesday      buddha_eve     ชมพู
2025-02-05   wednesday    buddha_day     เขียว
2025-02-10   monday       kone_eve       เหลือง
2025-02-11   tuesday      buddha_eve     ชมพู
2025-02-12   wednesday    buddha_day     เขียว
2025-02-18   tuesday      kone_eve       ชมพู
2025-02-19   wednesday    buddha_eve     เขียว
2025-02-20   thursday     buddha_day     ส้ม
2025-02-24   monday       kone_eve       เหลือง
2025-02-25   tuesday      buddha_eve     ชมพู
2025-02-26   wednesday    buddha_day     เขียว
2025-03-04   tuesday      kone_eve       ชมพู
2025-03-05   wednesday    buddha_eve     เขียว
2025-03-06   thursday     buddha_day     ส้ม
2025-03-11   tuesday      kone_eve       ชมพู
2025-03-12   wednesday    buddha_eve     เขียว
2025-03-13   thursday     buddha_day     ส้ม
2025-03-19   wednesday    kone_eve       เขียว
2025-03-20   thursday     buddha_eve     ส้ม
2025-03-21   friday       buddha_day     ฟ้า
2025-03-26   wednesday    kone_eve       เขียว
2025-03-27   thursday     buddha_eve     ส้ม
2025-03-28   friday       buddha_day     ฟ้า
2025-04-03   thursday     kone_eve       ส้ม
2025-04-04   friday       buddha_eve     ฟ้า
2025-04-05   saturday     buddha_day     ม่วง
2025-04-10   thursday     kone_eve       ส้ม
2025-04-11   friday       buddha_eve     ฟ้า
2025-04-12   saturday     buddha_day     ม่วง
2025-04-18   friday       kone_eve       ฟ้า
2025-04-19   saturday     buddha_eve     ม่วง
2025-04-20   sunday       buddha_day     แดง
2025-04-24   thursday     kone_eve       ส้ม
2025-04-25   friday       buddha_eve     ฟ้า
2025-04-26   saturday     buddha_day     ม่วง
2025-05-02   friday       kone_eve       ฟ้า
2025-05-03   saturday     buddha_eve     ม่วง
2025-05-04   sunday       buddha_day     แดง
2025-05-09   friday       kone_eve       ฟ้า
2025-05-10   saturday     buddha_eve     ม่วง
2025-05-11   sunday       buddha_day     แดง
2025-05-17   saturday     kone_eve       ม่วง
2025-05-18   sunday       buddha_eve     แดง
2025-05-19   monday       buddha_day     เหลือง
2025-05-24   saturday     kone_eve       ม่วง
2025-05-25   sunday       buddha_eve     แดง
2025-05-26   monday       buddha_day     เหลือง
2025-06-01   sunday       kone_eve       แดง
2025-06-02   monday       buddha_eve     เหลือง
2025-06-03   tuesday      buddha_day     ชมพู
2025-06-08   sunday       kone_eve       แดง
2025-06-09   monday       buddha_eve     เหลือง
2025-06-10   tuesday      buddha_day     ชมพู
2025-06-16   monday       kone_eve       เหลือง
2025-06-17   tuesday      buddha_eve     ชมพู
2025-06-18   wednesday    buddha_day     เขียว
2025-06-23   monday       kone_eve       เหลือง
2025-06-24   tuesday      buddha_eve     ชมพู
2025-06-25   wednesday    buddha_day     เขียว
2025-07-01   tuesday      kone_eve       ชมพู
2025-07-02   wednesday    buddha_eve     เขียว
2025-07-03   thursday     buddha_day     ส้ม
2025-07-08   tuesday      kone_eve       ชมพู
2025-07-09   wednesday    buddha_eve     เขียว
2025-07-10   thursday     buddha_day     ส้ม
2025-07-11   friday       buddha_day     ฟ้า
2025-07-16   wednesday    kone_eve       เขียว
2025-07-17   thursday     buddha_eve     ส้ม
2025-07-18   friday       buddha_day     ฟ้า
2025-07-23   wednesday    kone_eve       เขียว
2025-07-24   thursday     buddha_eve     ส้ม
2025-07-25   friday       buddha_day     ฟ้า
2025-07-31   thursday     kone_eve       ส้ม
2025-08-01   friday       buddha_eve     ฟ้า
2025-08-02   saturday     buddha_day     ม่วง
2025-08-07   thursday     kone_eve       ส้ม
2025-08-08   friday       buddha_eve     ฟ้า
2025-08-09   saturday     buddha_day     ม่วง
2025-08-15   friday       kone_eve       ฟ้า
2025-08-16   saturday     buddha_eve     ม่วง
2025-08-17   sunday       buddha_day     แดง
2025-08-21   thursday     kone_eve       ส้ม
2025-08-22   friday       buddha_eve     ฟ้า
2025-08-23   saturday     buddha_day     ม่วง
2025-08-29   friday       kone_eve       ฟ้า
2025-08-30   saturday     buddha_eve     ม่วง
2025-08-31   sunday       buddha_day     แดง
2025-09-05   friday       kone_eve       ฟ้า
2025-09-06   saturday     buddha_eve     ม่วง
2025-09-07   sunday       buddha_day     แดง
2025-09-13   saturday     kone_eve       ม่วง
2025-09-14   sunday       buddha_eve     แดง
2025-09-15   monday       buddha_day     เหลือง
2025-09-20   saturday     kone_eve       ม่วง
2025-09-21   sunday       buddha_eve     แดง
